,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05
603,"7,252","7,270","6,840","7,139","7,670","7,581","7,289","6,838","6,924","7,261","5,046","3,039","3,133"
605,"2,272","1,950","1,874","2,011","2,399","2,418","2,165","2,028","2,069","2,350","1,682",718,684
607,71,54,44,52,65,62,48,47,45,54,35,29,21
611,"1,548","1,471","1,424","1,510","1,575","1,589","1,591","1,453","1,487","1,588","1,127",642,752
612,"1,181","1,157","1,101","1,136","1,196","1,215","1,136","1,002","1,071","1,143",780,444,520
625,334,321,330,289,301,302,289,254,272,255,220,84,61
665,626,528,504,638,849,819,699,594,572,759,480,142,118
685,547,451,392,374,593,612,542,454,431,509,389,168,131
687,"1,203","1,145","1,090","1,157","1,290","1,306","1,197","1,067","1,067","1,192",853,380,318
704,"10,566","10,324","10,412","10,927","11,154","11,029","10,198","9,706","10,025","10,727","6,889","3,080","3,138"
705,"5,686","5,305","5,209","5,509","5,928","5,866","5,569","5,253","5,404","5,743","3,651","1,983","2,698"
710,"6,736","6,568","6,131","6,201","6,742","6,804","6,213","5,739","5,937","6,488","4,352","2,056","2,484"
720,"28,739","29,028","29,195","29,521","29,343","28,937","27,501","25,808","26,919","27,756","19,260","9,797","11,102"
728,"5,790","5,601","5,714","5,820","6,079","5,937","5,722","5,503","5,626","5,787","3,427","1,386","2,291"
733,"7,879","7,704","8,044","8,377","8,279","8,154","7,535","7,141","7,479","7,972","4,985","2,793","3,899"
734,"6,100","5,894","5,772","5,909","6,085","6,210","5,849","5,241","5,769","6,092","3,766","1,907","2,460"
740,"2,420","2,509","1,991","2,001","2,246","2,294","2,158","2,020","2,105","2,258","1,324",769,"1,027"
744,"8,545","7,962","7,880","8,118","9,117","9,227","8,729","7,783","7,985","8,948","5,491","2,652","3,087"
745,"6,310","6,482","6,123","6,459","6,755","6,782","6,053","5,712","5,940","6,201","3,836","1,295","1,686"
750,"2,697","2,479","2,134","2,309","2,443","2,490","2,392","2,189","2,229","2,361","1,389",614,925
751,"4,771","4,597","3,997","4,080","4,373","4,428","4,092","3,697","3,854","4,086","2,749","1,298","1,973"
754,"21,105","20,948","19,514","20,271","21,559","21,501","19,603","18,498","19,406","21,231","13,762","6,313","6,413"
757,"12,321","12,396","11,427","11,900","12,718","12,924","11,755","11,041","11,265","11,810","7,064","3,877","5,010"
760,"4,707","5,291","4,928","5,015","5,300","5,136","4,380","3,855","3,749","3,925","2,545","1,436","2,165"
762,"3,826","3,586","3,361","3,531","4,230","4,202","3,780","3,276","3,250","3,674","2,344","1,267","1,699"
770,"6,717","6,317","5,749","5,875","6,424","6,353","5,908","5,343","5,549","5,816","3,667","1,607","2,310"
780,"7,502","7,312","6,319","6,454","7,109","6,976","6,596","6,075","6,037","6,484","3,661","1,230","1,819"
788,"1,902","1,809","1,832","1,899","2,065","2,103","1,937","1,766","1,880","2,091","1,240",598,919
794,"3,916","3,846","3,673","3,861","3,976","4,121","3,854","3,491","3,573","3,786","2,449","1,164","1,548"
901,"22,836","20,651","19,834","20,483","23,229","23,356","21,690","19,179","19,932","22,256","14,552","6,256","7,317"
910,"16,269","16,015","16,806","18,310","21,267","22,347","19,203","16,451","17,213","19,277","11,604","3,955","4,448"
